Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D147,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,71.877166,-248.394338,0,top
D148,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,71.517166,-240.134338,0,top
D149,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,53.487166,-231.734338,0,top
D150,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,52.897166,-226.114338,0,top
D151,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,52.862166,-219.694338,0,top
D152,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,52.827166,-213.894338,0,top
D153,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,52.987166,-209.644338,0,top
D154,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,61.732166,-206.564338,0,top
D155,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,78.797166,-206.564338,0,top
D156,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,86.252166,-206.564338,0,top
D157,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,109.797166,-206.564338,0,top
D158,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,115.222166,-204.134338,0,top
D159,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,142.392166,-188.844338,0,top
D160,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,189.477166,-191.694338,180,top
D161,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,201.947166,-190.874338,0,top
D162,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,148.527166,-192.274338,180,top
D163,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,211.077166,-190.494338,0,top
D164,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,219.247166,-190.424338,0,top
D165,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,223.637166,-193.754338,0,top
D166,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,233.137166,-194.484338,0,top
D167,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,237.237166,-190.574338,0,top
D168,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,72.877166,-298.194338,0,top
D169,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,73.367166,-300.814338,0,top
D170,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,74.577166,-303.404338,0,top
D171,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,76.047166,-306.034338,0,top
D172,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,72.007166,-313.144338,0,top
D173,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,71.357166,-315.704338,0,top
D174,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,71.207166,-318.314338,0,top
D175,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,68.017166,-320.624338,0,top
D176,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,67.122166,-323.214338,0,top
D177,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,65.097166,-325.784338,0,top
D178,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,62.907166,-328.474338,0,top
D179,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,60.6,-332.3,0,top
D180,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,58.032166,-335.164338,0,top
D181,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,52.547166,-338.024338,0,top
D182,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,49.267166,-340.714338,0,top
D183,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,46.222166,-343.874338,0,top
D184,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,43.147166,-346.584338,0,top
D185,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,39.817166,-348.784338,0,top
D186,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,36.477166,-350.794338,0,top
D187,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,31.967166,-352.534338,0,top
D188,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,29.517166,-355.694338,0,top
D189,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,45.542166,-110.644338,0,top
D190,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,42.807166,-115.314338,0,top
D191,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,40.837166,-119.334338,0,top
D192,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,40.177166,-123.334338,0,top
D193,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,41.917166,-128.464338,0,top
D194,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,45.387166,-133.254338,0,top
D195,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,48.337166,-136.314338,0,top
D196,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,51.967166,-141.124338,0,top
D197,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,53.227166,-147.624338,0,top
D198,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,53.227166,-153.004338,0,top
D199,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,53.227166,-157.074338,0,top
D200,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,53.227166,-161.424338,0,top
D201,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,53.227166,-165.094338,0,top
D202,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,53.227166,-171.294338,0,top
D203,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,53.227166,-176.704338,0,top
D204,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,53.227166,-181.854338,0,top
D205,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,53.227166,-185.484338,0,top
D206,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,53.227166,-191.094338,0,top
D207,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,52.112166,-202.524338,180,top
D208,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,208.702166,-244.694338,0,top
D209,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,206.027166,-247.264338,180,top
D210,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,203.847166,-249.884338,0,top
D211,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,198.602166,-253.474338,0,top
D212,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,195.717166,-256.804338,0,top
D213,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,192.237166,-259.804338,0,top
D214,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,186.117166,-262.414338,0,top
D215,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,114.787166,-268.354338,0,top
D216,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,85.272166,-271.644338,0,top
D217,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,86.497166,-269.054338,0,top
D218,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,75.512166,-262.224338,0,top
D219,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,79.862166,-281.814338,180,top
D220,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,69.597166,-273.314338,0,top
D221,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,69.597166,-268.774338,0,top
D222,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,68.202166,-258.804338,0,top
D223,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,68.997166,-255.094338,0,top
D224,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,67.362166,-251.794338,0,top
D225,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,66.447166,-246.234338,0,top
D226,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,63.522166,-239.494338,0,top
D227,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,63.522166,-232.494338,0,top
D228,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,63.522166,-229.074338,0,top
D229,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,63.522166,-226.134338,0,top
D230,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,63.522166,-223.064338,0,top
D231,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,63.522166,-219.634338,0,top
D232,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,63.522166,-214.464338,0,top
D233,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,60.057166,-209.864338,180,top
D234,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,55.262166,-202.524338,0,top
D235,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,49.277166,-195.874338,0,top
D236,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,47.522166,-191.194338,0,top
D237,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,46.597166,-186.434338,0,top
D238,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,46.597166,-181.864338,0,top
D239,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,46.597166,-176.754338,0,top
D240,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,46.527166,-171.374338,0,top
D241,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,45.837166,-165.094338,0,top
D242,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,45.387166,-161.154338,0,top
D243,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,45.387166,-156.614338,0,top
D244,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,45.387166,-152.004338,0,top
D245,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,45.387166,-147.424338,0,top
D246,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,45.387166,-140.204338,0,top
D247,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,45.787166,-123.234338,0,top
D248,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,46.512166,-118.814338,0,top
D249,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,47.627166,-115.294338,0,top
D250,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,49.657166,-110.644338,0,top
D251,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,51.077166,-107.164338,0,top
D252,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,61.297166,-99.124338,0,top
D253,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,62.437166,-95.644338,0,top
D254,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,62.787166,-91.864338,0,top
D255,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,61.277166,-84.874338,0,top
D256,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,70.687166,-165.244338,0,top
D257,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,70.687166,-161.364338,0,top
D258,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,70.687166,-157.344338,0,top
D259,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,70.687166,-152.804338,0,top
D260,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,70.687166,-147.574338,0,top
D261,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,64.787166,-144.984338,0,top
D262,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,99.887166,-69.874338,0,top
D263,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,140.697166,-336.654338,0,top
D264,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,139.667166,-333.064338,0,top
D265,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,138.247166,-328.634338,0,top
D266,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,137.557166,-324.354338,0,top
D267,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,137.677166,-318.394338,0,top
D268,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,137.607166,-314.594338,0,top
D269,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,137.797166,-309.894338,0,top
D270,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,137.827166,-305.544338,0,top
D271,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,137.867166,-298.104338,0,top
D272,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,137.937166,-292.534338,0,top
